エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
金沢エリア	ANAホリディ・イン金沢スカイ	2026/01/02	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車, 徒歩			10,000円以上 20,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	2～5回目	インターネット・アプリ	ひがし茶屋街		近江町市場		5,000円以上 10,000円未満	とても満足	ゆっくり出来る	満足	静かに落ち着ける	感じなかった		9		また行きたい（1年以内）	美味しいものがたくさんあり、たびたび訪れたい	男	1968	岐阜県	可児市	1,000万円以上 1,200万円未満	なんとなく	とても満足	10	美味しいものが食べられる
金沢エリア	金沢カプセルホテル武蔵町	2026/01/03	同意する	4泊以上	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	富山県	自分ひとり	地元の美味しいものを食べる, まちあるき、都市散策	在来線	在来線	とても不満	私鉄が多すぎて不便	1,000円以上 3,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	七尾	選択なし/該当施設なし	輪島	5,000円以上 10,000円未満	どちらでもない	あまり見てない	どちらでもない	あまり見てない	感じなかった		7		機会があれば行きたい	特になし	男	1971	愛知県	豊田市	500万円以上 600万円未満	景品が当たる	満足	7	町が華やか
金沢エリア	ホテルマイステイズプレミア金沢	2026/01/03	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親	名所、旧跡の観光	自家用車	自家用車			10,000円以上 20,000円未満	1,000円以上 3,000円未満	10,000円以上 20,000円未満	初めて	友人・知人	選択なし/該当施設なし	金沢駅	金沢21世紀美術館		使わない	とても満足	たのしかった	とても満足	たのしかった	感じなかった		10		また行きたい（1年以内）	特になし	男	1985	大阪府	大阪市	900万円以上 1,000万円未満	景品が当たる	とても満足	10	
金沢エリア	ホテルマイステイズプレミア金沢	2026/01/03	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる	自家用車	自家用車			10,000円以上 20,000円未満	100,000円以上	10,000円以上 20,000円未満	11回目以上	X(旧：Twitter)	選択なし/該当施設なし	金沢駅	金沢21世紀美術館		1,000円以上 3,000円未満	どちらでもない	非日常的な体験ができるから	とても満足	雪の時期なので良かった	感じなかった		10		また行きたい（1年以内）	特になし	男	1985	大阪府	大阪市	900万円以上 1,000万円未満	景品が当たる	とても満足	10	美味しい食べ物が食べれるから
金沢エリア	ANAホリディ・イン金沢スカイ	2026/01/03	同意する	4泊以上	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	富山県	自分ひとり	宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	在来線	在来線, 路線バス	満足	ホテルへ濡れずに行ける	100,000円以上	50,000円以上 100,000円未満	30,000円以上 40,000円未満	11回目以上	ホテルのHP	兼六園		尾山神社		3,000円以上 5,000円未満	満足		満足		感じなかった		9	いろいろ御札があり毎年買う	また行きたい（1年以内）	治部煮が好きです	女	1962	東京都	世田谷区	800万円以上 900万円未満	景品が当たる, ひゃくまんさんが好き, 動く３Dひゃくまんさんを見たい	とても満足	10	兼六園の雪景色
金沢エリア	倶利伽羅塾	2026/01/03	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	団体旅行	温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車			5,000円以上 10,000円未満	1,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし/該当施設なし		5,000円以上 10,000円未満	とても満足	費用対効果が良かった。大きなお風呂もあり、部屋も家族5人で泊まることができた。	とても満足		感じなかった		9		また行きたい（1年以内）	おいしい、安い、たのしい	女	1998	富山県	黒部市	300万円以上 400万円未満	景品が当たる	とても満足	10	
金沢エリア	倶利伽羅塾	2026/01/03	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 友人・親戚を訪ねる	自家用車	自家用車			5,000円以上 10,000円未満	3,000円以上 5,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	兼六園		選択なし/該当施設なし		1,000円以上 3,000円未満	とても満足	良心的な価格だった	とても満足	雪景色が素晴らしかった	感じなかった		10		また行きたい（1年以内）	価格帯がもう少し安価であれば良い	男	1967	富山県	黒部市	500万円以上 600万円未満	景品が当たる	とても満足	10	
金沢エリア	石川県観光物産館	2026/01/03	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	新幹線	路線バス, 徒歩	満足	たくさんバスが走っていて便利だが、支払いの方法がわからず、最初に手間取ったため。	10,000円以上 20,000円未満	1,000円以上 3,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	金沢城	兼六園		1,000円以上 3,000円未満	とても満足	和菓子作り体験をして、とても面白かった	とても満足	体験の内容がよかった	感じなかった		8	実際に和菓子を作ることができて楽しかった	機会があれば行きたい	特になし	女	1997	埼玉県	川越市	700万円以上 800万円未満	景品が当たる	満足	8	
金沢エリア	石川県観光物産館	2026/01/03	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光	新幹線	路線バス, 徒歩	満足	バス停に雪よけなどされていた。本数もあり不便ではなかった	30,000円以上 40,000円未満	30,000円以上 40,000円未満	20,000円以上 30,000円未満	初めて	観光パンフレット・ポスター, インターネット・アプリ	近江町市場	金沢城	兼六園		3,000円以上 5,000円未満	とても満足	和菓子作り体験が楽しかった	満足	買い物券もいただき、お土産も買えた	感じなかった		9		機会があれば行きたい	特になし	女	1972	埼玉県	坂戸市	700万円以上 800万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい, なんとなく	とても満足	10	雪でも楽しめることがあった。金沢城のスタンプラリーが楽しかった
金沢エリア	金沢中央観光案内所	2026/01/03	同意する	4泊以上	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	滋賀	小学生と中学生連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）	新幹線, 飛行機	徒歩			20,000円以上 30,000円未満	40,000円以上 50,000円未満	50,000円以上 100,000円未満	初めて	通りかかったので	金沢21世紀美術館		近江町市場		使わない	満足	マンホールカードをいただくために立ち寄ったので	満足	寒い中暖を取れました。	感じた	温かい飲み物を買おうと思ったのですが、種類が少なかったので。	8		機会があれば行きたい	満足しているので、特にありません。	女	1982	神奈川県	横浜市	1,200万円以上 1,500万円未満	ひゃくまんさんが好き	とても満足	10	香箱ガニが気に入ったので。
金沢エリア	KOKOHOTEL Premier 金沢香林坊	2026/01/04	同意する	1泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	友人・親戚を訪ねる	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	30,000円以上 40,000円未満	初めて	booking.com	尾山神社		ひがし茶屋街		1,000円以上 3,000円未満	満足	金箔貼り体験が楽しかった。	満足	楽しかったので。	感じなかった		5		また行きたい（1年以内）	特になし	女	1979	愛知県	稲沢市	300万円以上 400万円未満	景品が当たる, ひゃくまんさんが好き	とても満足	8	宿でゆっくりするだけでも癒される
金沢エリア	金沢国際ホテル	2026/01/04	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	自家用車	自家用車			50,000円以上 100,000円未満	1,000円未満	30,000円以上 40,000円未満	初めて	インターネット・アプリ	近江町市場		兼六園		1,000円以上 3,000円未満	どちらでもない		どちらでもない		感じた	大浴場	6		機会があれば行きたい	特になし	男	1960	京都府	京都市	900万円以上 1,000万円未満	景品が当たる	満足	8	
金沢エリア	石川県観光物産館	2026/01/04	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 各種体験（手作り、果物狩りなど）	新幹線, 在来線	在来線, 路線バス	満足	早い	10,000円以上 20,000円未満	3,000円以上 5,000円未満	20,000円以上 30,000円未満	初めて	新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, インターネット・アプリ	兼六園		金沢21世紀美術館		1,000円以上 3,000円未満	満足	楽しい	満足	子供が喜ぶ	感じなかった		9		機会があれば行きたい	食べるのも体験も人たちも良い	女	1978	大阪府	東大阪市	100万円以上 200万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	9	雪、兼六園、観光物産館、２１世紀美術館
金沢エリア	からくり記念館	2026/01/04	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, 友人・親戚を訪ねる	自家用車	自家用車			10,000円以上 20,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	2～5回目	インターネット・アプリ, Instagram, 友人・知人	選択なし/該当施設なし	もりのすみか	選択なし/該当施設なし		1,000円未満	とても満足	地元にはない。珍しい施設でとても面白かったです。	とても満足		感じなかった		10		また行きたい（1年以内）	特になし	女	1988	岐阜県	岐阜市	700万円以上 800万円未満	ひゃくまんさんが好き	満足	8	子供の室内遊び場が多い。しかも新しく綺麗なところが多い。
金沢エリア	ホテル日航金沢	2026/01/04	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親、兄弟	地元の美味しいものを食べる, 名所、旧跡の観光, 友人・親戚を訪ねる	新幹線	徒歩			30,000円以上 40,000円未満	30,000円以上 40,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		兼六園		1,000円未満	どちらでもない	混雑でゆっくり楽しめなかった	どちらでもない	景色は良かったが散策以外はしなかった	感じなかった		6	改めて空いている時に訪ねたい	また行きたい（1年以内）	特になし	男	1964	東京都	国立市	200万円以上 300万円未満	景品が当たる, 感想を伝えたい	満足	7	グルメの多さ、おいしさ ただ事前予約可能なら必ず予約しておいた方がよいことを伝えたい
金沢エリア	金沢国際ホテル	2026/01/04	同意する	4泊以上	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	京都	夫婦2人	友人・親戚を訪ねる	自家用車	自家用車			5,000円以上 10,000円未満	5,000円以上 10,000円未満	20,000円以上 30,000円未満	2～5回目	インターネット・アプリ, 友人・知人	選択なし/該当施設なし		選択なし/該当施設なし		10,000円以上 20,000円未満	満足	リーズナブルな料金と立地	満足	部屋が広い	感じなかった		7		また行きたい（1年以内）	海鮮	男	1974	長野県	松本市	1,200万円以上 1,500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	どちらでもない	7	
金沢エリア	金沢国際ホテル	2026/01/05	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	友人・親戚を訪ねる	新幹線, 在来線	路線バス	満足	夜でも乗れる時間帯の路線バスがあったから	10,000円以上 20,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし/該当施設なし		20,000円以上 30,000円未満	とても満足	食事が美味しく、対応してくれた女性たちがみな感じが良かった	とても満足	清掃が行き届いており、対応してくれた女性たちがみな感じが良かった	感じた	個別空調でないため、少し暑かった。まる１日過ごせるプランがあればありがたかった。	10	近隣に芸術を鑑賞する施設が少ないので、美大の学生の作品を展示し、ついでに販売してはどうかと思いました。また、時間の延長プランがあれは助かります。	また行きたい（1年以内）	最近はパソコンで体が凝っている人が多いので、ヨガやピラティス、鍼やお灸、整体、カイロなど身体を整えに来る街にしていくとよいと思います。金沢国際ホテルにも気軽に使える鍼、お灸 、整体などがあるとさらによかったと思います。	女	1976	愛知県	名古屋市	700万円以上 800万円未満	景品が当たる, ひゃくまんさんが好き, 石川県に、今以上にたくさんの人が来て、発展してほしい。	満足	10	料理が美味しく、心地よく、もてなしてもらえる金沢国際ホテルのほかは、芝寿し。理由は県外から見たら、珍しく、おいしいのに、県外ではあまり知られていないから。
金沢エリア	ＨＯＴＥＬ金沢　兼六荘	2026/01/05	同意する	2泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	福井県	自分ひとり	地元の美味しいものを食べる, 名所、旧跡の観光	新幹線	在来線, 路線バス	とても満足	ローカルな地方鉄道にたくさん乗れて大満足だったから。	20,000円以上 30,000円未満	30,000円以上 40,000円未満	10,000円以上 20,000円未満	初めて	観光パンフレット・ポスター, インターネット・アプリ	近江町市場		兼六園		5,000円以上 10,000円未満	とても満足	兼六園に徒歩でいけ、大学生にも低価格なホテルを探していてとてもぴったり合ったホテルだったから。	とても満足	お手頃なホテルなのにも関わらず、ホテルの方々の接客がとても良く、ホテルはどこもきれいだったから。	感じなかった		10	朝食とても美味しかったです！	機会があれば行きたい	雪	男	2006	茨城県	稲敷郡阿見町	100万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	9	兼六園　日本の庭園というものを初めてみたがとてもきれいで細かいところまですごく繊細に見えたから。また季節によって庭園が変わって見えるので再び訪れたい。
